file,line,has_type,type_value,has_onClick,inside_form_context,class_final,downgrade_reason_or_note,raw_snippet_240chars
"src/app/bootstrap/lawyerAuth/AuthPasswordField.tsx",46,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className=""absolute inset-y-0 end-0 z-[1] flex min-w-[44px] min-h-[44px] items-center justify-center px-2 text-white/70 hover:text-[#E6C673]"" aria-label={visible ? 'إخفاء كلمة المرور' : 'إظهار كلمة المرور'} aria-pr"
"src/app/bootstrap/lawyerAuth/LawyerAuthChoiceCard.tsx",46,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateSecondaryBtnClass} disabled={busy} onClick={onGuest} data-testid=""lawyer-auth-guest-confirm"" >"
"src/app/bootstrap/lawyerAuth/LawyerAuthChoiceCard.tsx",55,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateGhostBtnClass} disabled={busy} onClick={() => setGuestWarning(false)} data-testid=""lawyer-auth-guest-cancel"" >"
"src/app/bootstrap/lawyerAuth/LawyerAuthChoiceCard.tsx",78,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGatePrimaryBtnClass} onClick={onLogin} onPointerEnter={onPrefetchForms} onFocus={onPrefetchForms} data-testid=""lawyer-auth-go-login"" >"
"src/app/bootstrap/lawyerAuth/LawyerAuthChoiceCard.tsx",88,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateSecondaryBtnClass} onClick={onRegister} onPointerEnter={onPrefetchForms} onFocus={onPrefetchForms} data-testid=""lawyer-auth-go-register"" >"
"src/app/bootstrap/lawyerAuth/LawyerAuthChoiceCard.tsx",101,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateGhostBtnClass} disabled={busy} onClick={() => setGuestWarning(true)} data-testid=""lawyer-auth-enter-guest"" >"
"src/app/bootstrap/lawyerAuth/LawyerAuthChoiceCard.tsx",111,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateGhostBtnClass} disabled={busy} onClick={onDevUnlock} data-testid=""lawyer-auth-enter-dev"" >"
"src/app/bootstrap/lawyerAuth/LawyerAuthOtpPanelSteps.tsx",90,1,"submit",0,1,"B1-SAFE-explicit-type-submit","inside_form=true","<button type=""submit"" className={authGatePrimaryBtnClass} disabled={loading} data-testid=""lawyer-auth-otp-email-continue"" >"
"src/app/bootstrap/lawyerAuth/LawyerAuthOtpPanelSteps.tsx",98,1,"button",1,1,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateGhostBtnClass} onClick={onBack} data-testid=""lawyer-auth-otp-back"" >"
"src/app/bootstrap/lawyerAuth/LawyerAuthOtpPanelSteps.tsx",143,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGatePrimaryBtnClass} disabled={loading} onClick={onSendEmail} data-testid=""lawyer-auth-otp-channel-email"" >"
"src/app/bootstrap/lawyerAuth/LawyerAuthOtpPanelSteps.tsx",153,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateSecondaryBtnClass} disabled={loading} onClick={onSendWhatsApp} data-testid=""lawyer-auth-otp-channel-whatsapp"" >"
"src/app/bootstrap/lawyerAuth/LawyerAuthOtpPanelSteps.tsx",164,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateGhostBtnClass} disabled={loading} onClick={onOpenAdminWhatsApp} data-testid=""lawyer-auth-otp-channel-admin-whatsapp"" >"
"src/app/bootstrap/lawyerAuth/LawyerAuthOtpPanelSteps.tsx",174,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateGhostBtnClass} disabled={loading} onClick={onBack} data-testid=""lawyer-auth-otp-back"" >"
"src/app/bootstrap/lawyerAuth/LawyerAuthOtpPanelSteps.tsx",279,1,"submit",0,1,"B1-SAFE-explicit-type-submit","inside_form=true","<button type=""submit"" className={authGatePrimaryBtnClass} disabled={loading} data-testid=""lawyer-auth-otp-submit"" >"
"src/app/bootstrap/lawyerAuth/LawyerAuthOtpPanelSteps.tsx",287,1,"button",1,1,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateGhostBtnClass} disabled={loading || resendIn > 0} onClick={onResend} data-testid=""lawyer-auth-otp-resend"" >"
