file,line,col,category,message_snippet
src\app\api\auth\otp\authOtpStore.ts,28,18,throw-prefix-missing,"AUTH_OTP_PEPPER is required"
src\app\api\security\adminMailerSmtp.ts,149,9,throw-prefix-missing,"SMTP ${reply.code}"
src\app\api\security\adminMailerSmtp.ts,193,15,throw-prefix-missing,"SMTP not configured"
src\app\api\security\adminOtpStore.ts,31,9,throw-prefix-missing,"ADMIN_OTP_PEPPER is required"
src\app\api\security\headquartersAudit.ts,21,13,console-prod-use,"console.error('[hq-audit] admin client missing');"
src\app\api\security\headquartersAudit.ts,43,13,console-prod-use,"console.error('[hq-audit] insert failed', code);"
src\app\api\security\headquartersAudit.ts,48,9,console-prod-use,"console.error('[hq-audit] insert threw');"
src\app\api\security\hqOtpShift.ts,25,9,throw-prefix-missing,"HQ_OTP_SHIFT_FORMAT"
src\app\api\security\hqOtpShift.ts,37,9,throw-prefix-missing,"HQ_OTP_SHIFT_FORMAT"
src\app\api\security\hqOtpShift.ts,42,13,throw-prefix-missing,"HQ_OTP_SHIFT_ZERO"
src\app\api\security\kvStoreAdmin.ts,14,15,throw-prefix-missing,"KV admin client is not configured"
src\app\api\security\kvStoreAdmin.ts,21,15,throw-prefix-missing,"KV admin client is not configured"
src\app\api\security\kvStoreAdmin.ts,29,15,throw-prefix-missing,"KV admin client is not configured"
src\app\api\security\kvStoreAdmin.ts,42,5,throw-prefix-missing,"Unsafe KV prefix"
src\app\api\security\kvStoreAdmin.ts,53,11,throw-prefix-missing,"Unsafe KV prefix"
src\app\api\security\kvStoreAdmin.ts,69,15,throw-prefix-missing,"KV admin client is not configured"
src\app\api\security\kvStoreAdmin.ts,89,15,throw-prefix-missing,"KV admin client is not configured"
src\app\api\security\kvStoreAdmin.ts,145,15,throw-prefix-missing,"KV admin client is not configured"
src\app\api\security\kvStoreAdmin.ts,168,15,throw-prefix-missing,"KV admin client is not configured"
src\app\api\security\kvStoreAdmin.ts,250,15,throw-prefix-missing,"KV admin client is not configured"
src\app\api\security\kvStoreAdmin.ts,298,15,throw-prefix-missing,"KV admin client is not configured"
src\app\api\security\kvStoreAdmin.ts,313,15,throw-prefix-missing,"KV admin client is not configured"
src\app\api\security\stolenTokenStores.ts,62,17,throw-prefix-missing,"Redis session scan failed: ${scan.status}"
src\app\api\security\stolenTokenStores.ts,93,23,throw-prefix-missing,"Redis session set failed: ${response.status}"
src\app\api\security\stolenTokenStores.ts,115,17,throw-prefix-missing,"Supabase session store is not configured."
src\app\api\security\stolenTokenStores.ts,125,16,throw-prefix-missing,"Supabase session list failed: ${error.message}"
src\app\api\security\stolenTokenStores.ts,137,17,throw-prefix-missing,"Supabase session store is not configured."
src\app\api\security\stolenTokenStores.ts,150,16,throw-prefix-missing,"Supabase session upsert failed: ${error.message}"
src\app\api\security\stolenTokenStores.ts,160,17,throw-prefix-missing,"Supabase session store is not configured."
src\app\api\security\stolenTokenStores.ts,163,16,throw-prefix-missing,"Supabase session revoke failed: ${error.message}"
src\app\api\security\wifeNonceStore.ts,49,7,throw-prefix-missing,"Redis nonce store failed: ${response.status}"
src\app\api\security\wifeNonceStore.ts,64,39,throw-prefix-missing,"Supabase nonce store is not configured."
src\app\api\security\wifeNonceStore.ts,92,7,throw-prefix-missing,"Supabase nonce store failed: ${response.status}"
src\app\api\security\wifeRateLimitStore.ts,49,20,throw-prefix-missing,"Redis rate limit incr failed: ${incrRes.status}"
src\app\api\security\wifeRedisRest.ts,15,13,throw-prefix-missing,"Redis is not configured."
src\app\api\security\wifeSecurityMonitor.ts,73,5,console-prod-use,"console.warn(JSON.stringify(payload));"
src\app\api\security\wifeSecurityMonitor.ts,75,5,console-prod-use,"console.info('[WIFE rejection]', payload);"
src\app\api\settings\wipe\wipeUserStorageObjects.ts,43,13,throw-prefix-missing,"storage_list_failed:${bucket}:${category}:${error.message}"
src\app\api\settings\wipe\wipeUserStorageObjects.ts,71,13,throw-prefix-missing,"storage_remove_failed:${bucket}:${error.message}"
src\app\api\vercelNodeHandler.ts,107,9,console-prod-use,"console.error('[vercel-api]', e);"
src\app\bootstrap\LawyerDashboardBootErrorBoundary.tsx,27,9,console-prod-use,"console.error('[LawyerDashboardBoot] load/render failed:', error);"
src\app\bootstrap\LawyerDashboardBootErrorBoundary.tsx,28,9,console-prod-use,"console.error('[LawyerDashboardBoot] component stack:', errorInfo.componentStack);"
src\app\bootstrap\lawyerDashboardChunk.ts,49,17,console-prod-use,"console.warn('[preloadLawyerDashboardChunk] failed:', err);"
src\app\components\lawyer\CommunityScreen\CommunityErrorBoundary.tsx,26,13,console-prod-use,"console.error('[CommunityErrorBoundary]', error, info.componentStack);"
src\app\components\lawyer\CommunityScreen\hooks\runLegalRepositoryUploadSubmit.ts,52,9,throw-prefix-missing,"auth"
src\app\components\lawyer\CommunityScreen\hooks\runLegalRepositoryUploadSubmit.ts,59,9,throw-prefix-missing,"invalid-fields"
src\app\components\lawyer\CommunityScreen\hooks\runLegalRepositoryUploadSubmit.ts,64,9,throw-prefix-missing,"no-file"
src\app\components\lawyer\CommunityScreen\hooks\runLegalRepositoryUploadSubmit.ts,75,13,throw-prefix-missing,"invalid-file"
src\app\components\lawyer\CommunityScreen\hooks\runLegalRepositoryUploadSubmit.ts,94,17,throw-prefix-missing,"invalid-file"
src\app\components\lawyer\CommunityScreen\hooks\runLegalRepositoryUploadSubmit.ts,117,17,throw-prefix-missing,"persist-failed"
