"file","line","type","snippet_60chars","is_production_file"
"src/app/api/auth/otp/authOtpStore.ts","28","throw-generic","if (!pepper) throw new Error('AUTH_OTP_PEPPER is required');","TRUE"
"src/app/api/auth/otp/whatsappMsisdn.ts","3","smell-tag:xxx","/** MSISDN واتساب العراقي بدون + — 9647xxxxxxxx */","TRUE"
"src/app/api/security/adminMailerSmtp.ts","193","throw-generic","if (!cfg) throw new Error('SMTP not configured');","TRUE"
"src/app/api/security/adminOtpStore.ts","31","throw-generic","throw new Error('ADMIN_OTP_PEPPER is required');","TRUE"
"src/app/api/security/headquartersAudit.ts","21","console:error","console.error('[hq-audit] admin client missing');","TRUE"
"src/app/api/security/headquartersAudit.ts","43","console:error","console.error('[hq-audit] insert failed'; code);","TRUE"
"src/app/api/security/headquartersAudit.ts","48","console:error","console.error('[hq-audit] insert threw');","TRUE"
"src/app/api/security/hqOtpShift.ts","25","throw-generic","throw new Error('HQ_OTP_SHIFT_FORMAT');","TRUE"
"src/app/api/security/hqOtpShift.ts","37","throw-generic","throw new Error('HQ_OTP_SHIFT_FORMAT');","TRUE"
"src/app/api/security/hqOtpShift.ts","42","throw-generic","throw new Error('HQ_OTP_SHIFT_ZERO');","TRUE"
"src/app/api/security/kvStoreAdmin.ts","14","throw-generic","if (!admin) throw new Error('KV admin client is not configured');","TRUE"
"src/app/api/security/kvStoreAdmin.ts","21","throw-generic","if (!admin) throw new Error('KV admin client is not configured');","TRUE"
"src/app/api/security/kvStoreAdmin.ts","29","throw-generic","if (!admin) throw new Error('KV admin client is not configured');","TRUE"
"src/app/api/security/kvStoreAdmin.ts","42","throw-generic","throw new Error('Unsafe KV prefix');","TRUE"
"src/app/api/security/kvStoreAdmin.ts","53","throw-generic","if (!p) throw new Error('Unsafe KV prefix');","TRUE"
"src/app/api/security/kvStoreAdmin.ts","69","throw-generic","if (!admin) throw new Error('KV admin client is not configured');","TRUE"
"src/app/api/security/kvStoreAdmin.ts","89","throw-generic","if (!admin) throw new Error('KV admin client is not configured');","TRUE"
"src/app/api/security/kvStoreAdmin.ts","145","throw-generic","if (!admin) throw new Error('KV admin client is not configured');","TRUE"
"src/app/api/security/kvStoreAdmin.ts","168","throw-generic","if (!admin) throw new Error('KV admin client is not configured');","TRUE"
"src/app/api/security/kvStoreAdmin.ts","250","throw-generic","if (!admin) throw new Error('KV admin client is not configured');","TRUE"
"src/app/api/security/kvStoreAdmin.ts","298","throw-generic","if (!admin) throw new Error('KV admin client is not configured');","TRUE"
"src/app/api/security/kvStoreAdmin.ts","313","throw-generic","if (!admin) throw new Error('KV admin client is not configured');","TRUE"
"src/app/api/security/stolenTokenStores.ts","115","throw-generic","if (!admin) throw new Error('Supabase session store is not configured.');","TRUE"
"src/app/api/security/stolenTokenStores.ts","137","throw-generic","if (!admin) throw new Error('Supabase session store is not configured.');","TRUE"
"src/app/api/security/stolenTokenStores.ts","160","throw-generic","if (!admin) throw new Error('Supabase session store is not configured.');","TRUE"
"src/app/api/security/wifeNonceStore.ts","64","throw-generic","if (!supabaseUrl || !supabaseKey) throw new Error('Supabase nonce store is not c","TRUE"
"src/app/api/security/wifeRedisRest.ts","15","throw-generic","if (!cfg) throw new Error('Redis is not configured.');","TRUE"
"src/app/api/security/wifeSecurityMonitor.ts","73","console:warn","console.warn(JSON.stringify(payload));","TRUE"
"src/app/api/vercelNodeHandler.ts","107","console:error","console.error('[vercel-api]'; e);","TRUE"
"src/app/bootstrap/lawyerAuth/LawyerRegisterProfileStep.tsx","71","smell-tag:xxx","placeholder='07xxxxxxxx'","TRUE"
"src/app/bootstrap/LawyerDashboardBootErrorBoundary.tsx","27","console:error","console.error('[LawyerDashboardBoot] load/render failed:'; error);","TRUE"
"src/app/bootstrap/LawyerDashboardBootErrorBoundary.tsx","28","console:error","console.error('[LawyerDashboardBoot] component stack:'; errorInfo.componentStack","TRUE"
"src/app/bootstrap/lawyerDashboardChunk.ts","49","console:warn","console.warn('[preloadLawyerDashboardChunk] failed:'; err);","TRUE"
"src/app/components/admin/adminLawEntryApi.ts","81","throw-generic","throw new Error('لم تُرجع الخادم أي بيانات.');","TRUE"
"src/app/components/admin/adminLawEntryApi.ts","98","throw-generic","throw new Error('استجابة غير متوقعة من الخادم.');","TRUE"
"src/app/components/admin/adminLawEntryApi.ts","135","throw-generic","throw new Error('لم تُرجع الخادم أي بيانات.');","TRUE"
"src/app/components/lawyer/CommunityScreen/CommunityErrorBoundary.tsx","26","console:error","console.error('[CommunityErrorBoundary]'; error; info.componentStack);","TRUE"
"src/app/components/lawyer/CommunityScreen/hooks/runLegalRepositoryUploadSubmit.ts","52","throw-generic","throw new Error('auth');","TRUE"
"src/app/components/lawyer/CommunityScreen/hooks/runLegalRepositoryUploadSubmit.ts","59","throw-generic","throw new Error('invalid-fields');","TRUE"
"src/app/components/lawyer/CommunityScreen/hooks/runLegalRepositoryUploadSubmit.ts","64","throw-generic","throw new Error('no-file');","TRUE"
"src/app/components/lawyer/CommunityScreen/hooks/runLegalRepositoryUploadSubmit.ts","75","throw-generic","throw new Error('invalid-file');","TRUE"
"src/app/components/lawyer/CommunityScreen/hooks/runLegalRepositoryUploadSubmit.ts","94","throw-generic","throw new Error('invalid-file');","TRUE"
"src/app/components/lawyer/CommunityScreen/hooks/runLegalRepositoryUploadSubmit.ts","117","throw-generic","throw new Error('persist-failed');","TRUE"
"src/app/components/lawyer/CommunityScreen/hooks/runLegalRepositoryUploadSubmit.ts","123","throw-generic","throw new Error('no-storage');","TRUE"
"src/app/components/lawyer/CommunityScreen/hooks/runLegalRepositoryUploadSubmit.ts","161","throw-generic","throw new Error('cloud-failed');","TRUE"
