"file","line","reason"
"src\app\components\lawyer\caseShare\ColleagueConsultationFlow.tsx","256","nested <button> inside <button> depth=1"
"src\app\components\lawyer\caseShare\ColleagueConsultationFlow.tsx","279","nested <button> inside <button> depth=1"
"src\app\components\lawyer\caseShare\ColleagueConsultationFlow.tsx","290","nested <button> inside <button> depth=1"
"src\app\components\lawyer\caseShare\ColleagueConsultationFlow.tsx","395","nested <button> inside <button> depth=1"
"src\app\components\lawyer\caseShare\ColleagueConsultationFlow.tsx","403","nested <button> inside <button> depth=1"
"src\app\components\lawyer\caseShare\ColleagueConsultationFlow.tsx","413","nested <button> inside <button> depth=1"
"src\app\components\lawyer\CommunityScreen\components\ForumFollowingInstantCover.tsx","32","nested <button> inside <button> depth=1"
"src\app\components\lawyer\CommunityScreen\components\ForumOverlayInstantCovers.tsx","66","nested <button> inside <button> depth=1"
"src\app\components\lawyer\criminal-system\components\modals\ProceduralContainerFormModal.tsx","106","nested <button> inside <button> depth=1"
"src\app\components\lawyer\criminal-system\components\modals\ProceduralContainerFormModal.tsx","113","nested <button> inside <button> depth=1"
"src\app\components\lawyer\dashboard\fieldTasks\FieldTasksSheetOpenInstantChrome.tsx","97","nested <button> inside <button> depth=1"
"src\app\components\lawyer\dashboard\fieldTasks\FieldTasksSheetOpenInstantChrome.tsx","133","nested <button> inside <button> depth=1"
"src\app\components\lawyer\dashboard\fieldTasks\FieldTasksSheetOpenInstantChrome.tsx","165","nested <button> inside <button> depth=1"
"src\app\components\lawyer\dashboard\FieldTasksBottomSheet.tsx","301","nested <button> inside <button> depth=1"
"src\app\components\lawyer\DocumentVault.tsx","603","nested <button> inside <button> depth=1"
"src\app\components\lawyer\DocumentVault.tsx","611","nested <button> inside <button> depth=1"
"src\app\components\lawyer\dossier-notes\SmartLawPickerMenu.tsx","37","nested <button> inside <button> depth=1"
"src\app\components\lawyer\RoyalLawyerProfile\components\ProfileGalleryViewer.tsx","103","nested <button> inside <button> depth=1"
"src\app\components\lawyer\RoyalLawyerProfile\components\ProfileGalleryViewer.tsx","142","nested <button> inside <button> depth=1"
"src\app\components\lawyer\RoyalLawyerProfile\components\ProfileGalleryViewer.tsx","153","nested <button> inside <button> depth=1"
"src\app\components\lawyer\RoyalLawyerProfile\components\ProfileGalleryViewer.tsx","167","nested <button> inside <button> depth=1"
"src\app\components\lawyer\RoyalLawyerProfile\components\ProfileGalleryViewer.tsx","174","nested <button> inside <button> depth=1"
"src\app\components\lawyer\RoyalLawyerProfile\components\ProfileGalleryViewer.tsx","188","nested <button> inside <button> depth=1"
"src\app\components\lawyer\RoyalLawyerProfile\components\ProfileGalleryViewer.tsx","200","nested <button> inside <button> depth=1"
"src\app\components\lawyer\RoyalLawyerProfile\components\ProfileGalleryViewer.tsx","215","nested <button> inside <button> depth=1"
"src\app\components\lawyer\RoyalLawyerProfile\components\ProfileGalleryViewer.tsx","225","nested <button> inside <button> depth=1"
"src\app\components\lawyer\SmartRepository\RepositoryMoveToRoomButton.tsx","162","nested <button> inside <button> depth=1"
"src\app\components\lawyer\SmartRepository\RepositoryRoomsGallery.tsx","80","nested <button> inside <button> depth=1"
"src\app\components\lawyer\SmartRepository\RepositoryRoomsGallery.tsx","137","nested <button> inside <button> depth=1"
"src\app\components\lawyer\SmartRepository\RepositoryRoomsGallery.tsx","166","nested <button> inside <button> depth=1"
"src\app\components\lawyer\SmartRepository\RepositoryRoomsGallery.tsx","183","nested <button> inside <button> depth=1"
"src\app\components\lawyer\SmartRepository\RepositoryRoomsGalleryInstantCover.tsx","27","nested <button> inside <button> depth=1"
"src\app\components\lawyer\SmartRepository\VaultDossierLinkButton.tsx","126","nested <button> inside <button> depth=1"
