"source","file","line","category_initial","proposed_action","prefix_domain","prefix_opid"
"code-quality","src/app/domain/lawsuit/independentChallengeDossier.ts","225","throw-generic","throw-prefix-ZVF","domain_lawsuit","applyindependentch"
"code-quality","src/app/services/caseShare/caseShareApiService.ts","89","throw-generic","throw-prefix-ZVF","services_caseshare","recipient_not_in_n"
"code-quality","src/app/services/caseShare/caseShareApiService.ts","106","throw-generic","throw-prefix-ZVF","services_caseshare","create_share_empty"
"code-quality","src/app/services/caseShare/caseShareApiService.ts","123","throw-generic","throw-prefix-ZVF","services_caseshare","respond_failed"
"code-quality","src/app/services/caseShare/caseShareApiService.ts","134","throw-generic","throw-prefix-ZVF","services_caseshare","share_not_found"
"code-quality","src/app/services/caseShare/caseShareApiService.ts","146","throw-generic","throw-prefix-ZVF","services_caseshare","end_session_empty"
"code-quality","src/app/services/caseShare/caseShareCriminalOwnershipApi.ts","11","throw-generic","throw-prefix-ZVF","services_caseshare","dossier_id_require"
"code-quality","src/app/services/caseShare/caseShareCriminalOwnershipApi.ts","17","throw-generic","throw-prefix-ZVF","services_caseshare","criminal_ownership"
"code-quality","src/app/services/caseShare/caseShareRepository.ts","168","throw-generic","throw-prefix-ZVF","services_caseshare","recipient_not_in_n"
"code-quality","src/app/services/cloud/lawyerProfileCloud.ts","284","throw-generic","throw-prefix-ZVF","services_cloud","profilepersistfail"
"code-quality","src/app/services/CryptoService.ts","453","throw-generic","throw-prefix-ZVF","services_cryptoservice_t","cryptoservicefaile"
"code-quality","src/app/services/CryptoService.ts","865","throw-generic","throw-prefix-ZVF","services_cryptoservice_t","cryptoservicenotin"
"code-quality","src/app/services/CryptoService.ts","879","throw-generic","throw-prefix-ZVF","services_cryptoservice_t","cryptoservicenotin"
"code-quality","src/app/services/CryptoService.ts","910","throw-generic","throw-prefix-ZVF","services_cryptoservice_t","cryptoservicenotin"
"code-quality","src/app/services/forum/forumOfficialStats.ts","33","throw-generic","throw-prefix-ZVF","services_forum","forumstatscountfai"
"code-quality","src/app/services/forum/forumPostPersistActions.ts","24","throw-generic","throw-prefix-ZVF","services_forum","noattachment"
"code-quality","src/app/services/forum/forumPostPersistActions.ts","41","throw-generic","throw-prefix-ZVF","services_forum","fetchfailed"
"code-quality","src/app/services/forumAttachmentService.ts","126","throw-generic","throw-prefix-ZVF","services_forumattachment","forumattachmentidb"
"code-quality","src/app/services/forumAttachmentService.ts","211","throw-generic","throw-prefix-ZVF","services_forumattachment","forumattachmentmis"
"code-quality","src/app/services/forumBlobStore.ts","63","throw-generic","throw-prefix-ZVF","services_forumblobstore_","forumblobstoreunav"
"code-quality","src/app/services/notifications/fcm/fcmTokenStore.server.ts","26","throw-generic","throw-prefix-ZVF","services_notifications","kvadminunavailable"
"code-quality","src/app/services/notifications/inbox/notificationServerKvIo.ts","22","throw-generic","throw-prefix-ZVF","services_notifications","kvadminunavailable"
"code-quality","src/app/services/notifications/inbox/notificationServerKvIo.ts","28","throw-generic","throw-prefix-ZVF","services_notifications","kvadminunavailable"
"code-quality","src/app/services/notifications/inbox/notificationServerKvIo.ts","34","throw-generic","throw-prefix-ZVF","services_notifications","kvadminunavailable"
"code-quality","src/app/services/notifications/inbox/notificationServerKvIo.ts","40","throw-generic","throw-prefix-ZVF","services_notifications","kvadminunavailable"
