"file","line","category","snippet","first_class_name_60"
"src/app/bootstrap/lawyerAuth/LawyerAuthGate.tsx","165","section","<div className={authGatePanelClass}>",""
"src/app/bootstrap/lawyerAuth/LawyerAuthOtpPanel.tsx","252","section","<div className={authGateCardClass} data-testid='lawyer-auth-otp-panel' aria-label={title}>",""
"src/app/bootstrap/lawyerAuth/LawyerPasswordResetForm.tsx","172","section","<div className={authGatePanelClass}>",""
"src/app/bootstrap/lawyerAuth/LawyerRegistrationReviewHold.tsx","62","section","<div className='hami-auth-gate-panel'>","hami-auth-gate-panel"
"src/app/bootstrap/lawyerAuth/LegalTermsConsentGate.tsx","94","section","<div className={`${authGatePanelClass} hami-legal-terms-panel hami-legal-terms-panel--document`}>",""
"src/app/bootstrap/LawyerDashboardStemInstantBridge.tsx","14","section","<div data-testid='home-bottom-chrome' className='hami-home-bottom-chrome' aria-hidden />","hami-home-bottom-chrome"
"src/app/components/admin/AdminHeadquartersAccess.tsx","74","section","<div className={authGatePanelClass}>",""
"src/app/components/admin/AdminHeadquartersAccess.tsx","119","section","<div className={authGatePanelClass}>",""
"src/app/components/admin/AdminLawyerVerificationRequests.tsx","200","section","<div className='hq-panel hq-dir-board'>","hq-panel hq-dir-board"
"src/app/components/admin/HeadquartersPanel.tsx","388","section","<div className='hq-panel hq-dir-board' data-testid='hq-dir-filters'>","hq-panel hq-dir-board"
"src/app/components/admin/HeadquartersUserDossier.tsx","324","section","<div className='hq-panel p-5' data-testid='hq-user-dossier' ref={rootRef}>","hq-panel p-5"
"src/app/components/admin/HqAuditLogPanel.tsx","121","section","<div className='hq-panel overflow-hidden'>","hq-panel overflow-hidden"
"src/app/components/admin/hqChrome.tsx","14","section","<div className='hq-section-head'>","hq-section-head"
"src/app/components/admin/hqChrome.tsx","19","section","{action ? <div className='hq-section-actions'>{action}</div> : null}","hq-section-actions"
"src/app/components/admin/HqCourtStatsPanel.tsx","49","section","<div key={stats.court} className='hq-panel hq-ops-court'>","hq-panel hq-ops-court"
"src/app/components/admin/HqForumAdminPanel.tsx","258","section","<div className='hq-panel col-span-2 p-4'>","hq-panel col-span-2 p-4"
"src/app/components/admin/HqForumAdminPanel.tsx","269","section","<div className='hq-panel col-span-2 p-4'>","hq-panel col-span-2 p-4"
"src/app/components/admin/HqForumAdminPanel.tsx","280","section","<div className='hq-panel p-4'>","hq-panel p-4"
"src/app/components/admin/HqForumAdminPanel.tsx","342","section","<div key={b.userId} className='hq-panel flex items-center justify-between gap-3 p-4'>","hq-panel flex items-center justify-between gap-3 p-4"
"src/app/components/admin/HqMailHealthStrip.tsx","67","section","<div className='hq-panel flex flex-wrap items-center justify-between gap-3 p-4' data-testid='hq-mail-health'>","hq-panel flex flex-wrap items-center justify-between gap-3 p-4"
"src/app/components/admin/HqVerificationDocPeek.tsx","281","header","<div className='hq-verify-peek-tools' role='toolbar' aria-label='عرض الوثيقة'>","hq-verify-peek-tools"
"src/app/components/admin/RequireTrustedDevice.tsx","229","section","<div className={authGatePanelClass}>",""
"src/app/components/admin/RequireTrustedDevice.tsx","282","section","<div className={authGatePanelClass}>",""
"src/app/components/lawyer/ActionModals/VoiceRecorderModalView.tsx","62","header","<div className={VAULT_RECORDER_HEADER}>",""
"src/app/components/lawyer/AppLockOverlay.tsx","111","section","<div className='hami-app-lock-overlay__panel'>","hami-app-lock-overlay__panel"
"src/app/components/lawyer/ArchivePortal/components/ExecutionArchivePreviewPaintSlot.tsx","19","section","<div className={`${EXECUTION_ARCHIVE_PREVIEW_PANEL_CLASS} min-h-[16rem]`} aria-hidden />",""
"src/app/components/lawyer/ArchivePortal/components/LawsuitArchiveLifecycleBars.tsx","27","header","<div className={ARCHIVE_TOOLBAR_SECTION}>",""
"src/app/components/lawyer/ArchivePortal/components/UnifiedDossierCard.tsx","345","footer","{footerNote ? <div className='text-[11px] font-bold'>{footerNote}</div> : null}","text-[11px] font-bold"
"src/app/components/lawyer/ArchivePortal/LawsuitArchiveChrome.tsx","260","section","<div ref={chromeScrollRef} className={lawsuitArchiveScrollRegionClass(embedded)}>",""
"src/app/components/lawyer/CommunityScreen/components/AddQuestionSheetPreview.tsx","36","section","<div className='relative w-full hami-forum-panel rounded-xl p-3 border border-white/10 pr-8'>","relative w-full hami-forum-panel rounded-xl p-3 border border-white/10 pr-8"
"src/app/components/lawyer/CommunityScreen/components/AddQuestionSheetPreview.tsx","53","section","<div className='inline-flex items-center gap-2 hami-forum-panel px-3 py-2 rounded-lg border border-white/10 relative pr-8'>",""
"src/app/components/lawyer/CommunityScreen/components/CommentBottomSheet.tsx","60","section","<div className='fixed inset-0 z-[120] flex items-end justify-center sm:items-center pointer-events-none' data-testid='forum-comment-sheet'>",""
"src/app/components/lawyer/CommunityScreen/components/CommentSheetComposer.tsx","51","section","<div className={`mb-3 flex items-center justify-between ${FORUM_PANEL} px-4 py-2`}>",""
"src/app/components/lawyer/CommunityScreen/components/CommunityScreenAccessGatePanel.tsx","46","section","<div className='hami-forum-panel rounded-xl p-4 max-w-md w-full space-y-3'>","hami-forum-panel rounded-xl p-4 max-w-md w-full space-y-3"
"src/app/components/lawyer/CommunityScreen/components/EditPostModal.tsx","45","section","<div className={`w-full max-w-xl ${FORUM_MODAL} p-4 pointer-events-auto`}>",""
"src/app/components/lawyer/CommunityScreen/components/ForumGroupFeedPanel.tsx","32","section","<div className={`mx-4 mt-2 mb-4 ${FORUM_PANEL} p-4`}>",""
"src/app/components/lawyer/CommunityScreen/components/ForumOverlayInstantCovers.tsx","40","dialog","<div role='dialog' aria-modal='true' aria-busy='true' aria-label='طرح استشارة'>",""
"src/app/components/lawyer/CommunityScreen/components/ForumOverlayInstantCovers.tsx","151","header","<div className={FORUM_SEARCH_HEADER}>",""
"src/app/components/lawyer/CommunityScreen/components/LegalRepository.tsx","81","section","<div className={`${FORUM_LAZY_SECTION_MIN_HEIGHT_CLASS} flex flex-col items-center justify-center text-center px-3 pb-6`}>",""
"src/app/components/lawyer/CommunityScreen/components/QuestionCardAttachmentAudio.tsx","13","section","<div className={`w-full ${FORUM_PANEL} p-3`}>",""
"src/app/components/lawyer/CommunityScreen/components/QuestionCardAttachmentDocument.tsx","45","section","<div className={`w-full ${FORUM_PANEL} p-3 space-y-3`}>",""
"src/app/components/lawyer/CommunityScreen/components/QuestionCardAttachmentDocument.tsx","81","section","<div className={`w-full ${FORUM_PANEL} p-3 flex items-center gap-3`} aria-busy='true'>",""
"src/app/components/lawyer/CommunityScreen/components/QuestionCardMoreMenu.tsx","95","nav","<div ref={rootRef} className='relative shrink-0' data-testid='forum-post-more-menu'>","relative shrink-0"
"src/app/components/lawyer/CommunityScreen/components/SearchOverlay.tsx","71","header","<div className={FORUM_SEARCH_HEADER}>",""
"src/app/components/lawyer/CommunityScreen/components/UploadDocumentModalTypeField.tsx","9","nav","<div className='relative z-20' ref={typeMenuRef}>","relative z-20"
"src/app/components/lawyer/criminal-system/components/DecisionCardAppealFooter.tsx","133","header","<div className='flex flex-wrap items-center gap-2' role='toolbar' aria-label='إجراءات الطعن التمييزي'>","flex flex-wrap items-center gap-2"
"src/app/components/lawyer/criminal-system/components/VerdictCassationModals.tsx","80","section","<div className={panelClass} onClick={(e) => e.stopPropagation()}>",""
"src/app/components/lawyer/criminal-system/components/VerdictCassationModals.tsx","199","section","<div className={panelClass} onClick={(e) => e.stopPropagation()}>",""
"src/app/components/lawyer/criminal-system/components/VerdictCassationModals.tsx","357","section","<div className={panelClass} onClick={(e) => e.stopPropagation()}>",""
"src/app/components/lawyer/dashboard/ExecutionArchiveInstantChrome.tsx","78","header","<div className={EXECUTION_ARCHIVE_INSTANT_HEADER}>",""
"src/app/components/lawyer/dashboard/ExecutionArchiveInstantChrome.tsx","79","header","<div className={EXECUTION_ARCHIVE_INSTANT_HEADER_ROW}>",""
"src/app/components/lawyer/dashboard/ExecutionArchiveInstantFrame.tsx","171","header","<div className={EXECUTION_ARCHIVE_INSTANT_HEADER}>",""
"src/app/components/lawyer/dashboard/ExecutionArchiveInstantFrame.tsx","172","header","<div className={EXECUTION_ARCHIVE_INSTANT_HEADER_ROW}>",""
"src/app/components/lawyer/dashboard/ExecutionCreationBootShell.tsx","10","section","<div dir='rtl' className={ecg.modalShell}>",""
"src/app/components/lawyer/dashboard/ExecutionCreationBootShell.tsx","11","header","<div className={ecg.modalHeader}>",""
"src/app/components/lawyer/dashboard/ExecutionCreationBootShell.tsx","28","section","<div className={ecg.modalBody} aria-hidden data-testid='execution-creation-boot-slots'>",""
"src/app/components/lawyer/dashboard/ExecutionCreationBootShell.tsx","29","section","<div className={ecg.modalBodyStack}>",""
"src/app/components/lawyer/dashboard/ExecutionCreationBootShell.tsx","31","header","<div className={ecg.sectionHeader}>",""
"src/app/components/lawyer/dashboard/ExecutionDossierInstantFrame.tsx","85","header","<div className={EXECUTION_DOSSIER_PHONE_HEADER_GRID}>",""
"src/app/components/lawyer/dashboard/fieldTasks/FieldTasksSheetChrome.tsx","44","header","<div className={CURTAIN_HEADER_ROW}>",""
"src/app/components/lawyer/dashboard/fieldTasks/FieldTasksSheetOpenInstantChrome.tsx","90","header","<div className={FIELD_TASKS_INSTANT_HEADER_CLASS}>",""
"src/app/components/lawyer/dashboard/fieldTasks/FieldTasksSheetOpenInstantChrome.tsx","164","footer","<div className={FIELD_TASKS_INSTANT_FOOTER_CLASS}>",""
"src/app/components/lawyer/dashboard/FieldTasksBottomSheet.tsx","300","footer","<div className={CURTAIN_FOOTER_ROW}>",""
"src/app/components/lawyer/dashboard/forumProfile/ForumTileProfileQuarterChrome.tsx","19","article","<div className='hami-forum-tile-avatar-frame' data-testid='home-dock-forum-profile-avatar'>","hami-forum-tile-avatar-frame"
"src/app/components/lawyer/dashboard/LawsuitsWorkspaceInstantChrome.tsx","37","header","<div className='px-4 hami-overlay-header-safe-pad pb-2'>","px-4 hami-overlay-header-safe-pad pb-2"
"src/app/components/lawyer/dashboard/LawsuitsWorkspaceInstantPaintFrame.tsx","36","header","<div className='px-4 hami-overlay-header-safe-pad pb-2'>","px-4 hami-overlay-header-safe-pad pb-2"
