"file","line","category","cn60","risk_1_5","decision","reason"
"src/app/bootstrap/lawyerAuth/LawyerAuthGate.tsx","165","section","","4","WONTFIX","complex stateful children; swap risk high"
"src/app/bootstrap/lawyerAuth/LawyerAuthOtpPanel.tsx","252","section","","2","SWAP-TO-SECTION","panel has ARIA region semantics already"
"src/app/bootstrap/lawyerAuth/LawyerPasswordResetForm.tsx","172","section","","3","WONTFIX","no low-risk swap markers; preserve ZVF boundary"
"src/app/bootstrap/lawyerAuth/LawyerRegistrationReviewHold.tsx","62","section","hami-auth-gate-panel","3","WONTFIX","no low-risk swap markers; preserve ZVF boundary"
"src/app/bootstrap/lawyerAuth/LegalTermsConsentGate.tsx","94","section","","3","WONTFIX","no low-risk swap markers; preserve ZVF boundary"
"src/app/bootstrap/LawyerDashboardStemInstantBridge.tsx","14","section","hami-home-bottom-chrome","5","WONTFIX","skeleton aria-hidden element — swap meaningless"
"src/app/components/admin/AdminHeadquartersAccess.tsx","74","section","","3","WONTFIX","no low-risk swap markers; preserve ZVF boundary"
"src/app/components/admin/AdminHeadquartersAccess.tsx","119","section","","3","WONTFIX","no low-risk swap markers; preserve ZVF boundary"
"src/app/components/admin/AdminLawyerVerificationRequests.tsx","200","section","hq-panel hq-dir-board","3","WONTFIX","no low-risk swap markers; preserve ZVF boundary"
"src/app/components/admin/HeadquartersPanel.tsx","388","section","hq-panel hq-dir-board","2","SWAP-TO-SECTION","panel has ARIA region semantics already"
"src/app/components/admin/HeadquartersUserDossier.tsx","324","section","hq-panel p-5","2","WONTFIX","3-swap cap reached"
"src/app/components/admin/HqAuditLogPanel.tsx","121","section","hq-panel overflow-hidden","3","WONTFIX","no low-risk swap markers; preserve ZVF boundary"
"src/app/components/admin/hqChrome.tsx","14","section","hq-section-head","3","WONTFIX","no low-risk swap markers; preserve ZVF boundary"
"src/app/components/admin/hqChrome.tsx","19","section","hq-section-actions","3","WONTFIX","no low-risk swap markers; preserve ZVF boundary"
"src/app/components/admin/HqCourtStatsPanel.tsx","49","section","hq-panel hq-ops-court","3","WONTFIX","no low-risk swap markers; preserve ZVF boundary"
"src/app/components/admin/HqForumAdminPanel.tsx","258","section","hq-panel col-span-2 p-4","3","WONTFIX","no low-risk swap markers; preserve ZVF boundary"
"src/app/components/admin/HqForumAdminPanel.tsx","269","section","hq-panel col-span-2 p-4","3","WONTFIX","no low-risk swap markers; preserve ZVF boundary"
"src/app/components/admin/HqForumAdminPanel.tsx","280","section","hq-panel p-4","3","WONTFIX","no low-risk swap markers; preserve ZVF boundary"
"src/app/components/admin/HqForumAdminPanel.tsx","342","section","hq-panel flex items-center justify-between gap-3 p-4","3","WONTFIX","no low-risk swap markers; preserve ZVF boundary"
"src/app/components/admin/HqMailHealthStrip.tsx","67","section","hq-panel flex flex-wrap items-center justify-between gap-3 p-4","3","WONTFIX","3-swap cap reached"
"src/app/components/admin/HqVerificationDocPeek.tsx","281","header","hq-verify-peek-tools","3","WONTFIX","no low-risk swap markers; preserve ZVF boundary"
"src/app/components/admin/RequireTrustedDevice.tsx","229","section","","3","WONTFIX","no low-risk swap markers; preserve ZVF boundary"
"src/app/components/admin/RequireTrustedDevice.tsx","282","section","","3","WONTFIX","no low-risk swap markers; preserve ZVF boundary"
"src/app/components/lawyer/ActionModals/VoiceRecorderModalView.tsx","62","header","","2","WONTFIX","3-swap cap reached"
