"source","file","line","category_initial","category_final","reason"
"code-quality","src/app/api/auth/otp/whatsappMsisdn.ts","3","smell-tag:xxx","WONTFIX","unclassified (smell-tag:xxx)"
"code-quality","src/app/api/security/headquartersAudit.ts","21","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/api/security/headquartersAudit.ts","43","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/api/security/headquartersAudit.ts","48","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/api/security/wifeNonceStore.ts","64","throw-generic","WONTFIX","throw message already prefixed or empty"
"code-quality","src/app/api/security/wifeSecurityMonitor.ts","73","console:warn","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/api/vercelNodeHandler.ts","107","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/bootstrap/lawyerAuth/LawyerRegisterProfileStep.tsx","71","smell-tag:xxx","WONTFIX","unclassified (smell-tag:xxx)"
"code-quality","src/app/bootstrap/LawyerDashboardBootErrorBoundary.tsx","27","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/bootstrap/LawyerDashboardBootErrorBoundary.tsx","28","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/bootstrap/lawyerDashboardChunk.ts","49","console:warn","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/admin/adminLawEntryApi.ts","81","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/components/admin/adminLawEntryApi.ts","98","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/components/admin/adminLawEntryApi.ts","135","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/components/lawyer/CommunityScreen/CommunityErrorBoundary.tsx","26","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/lawyer/CommunityScreen/settleIdleChunkPrefetch.ts","43","console:warn","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/lawyer/criminal-system/caseMergeTimeline.ts","121","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/components/lawyer/criminal-system/components/OtherEvidenceEntryForm.tsx","36","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/criminal-system/components/OtherEvidenceLogCard.tsx","39","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/criminal-system/components/OtherEvidenceLogCard.tsx","44","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/criminal-system/criminalCaseEvidenceTypes.ts","52","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/criminal-system/criminalDashboardBridgeRuntime.ts","137","console:warn","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/lawyer/criminal-system/criminalStoreInvestigationActions.ts","102","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/criminal-system/criminalStoreInvestigationActions.ts","104","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/criminal-system/criminalStoreMergeDraftActions.ts","298","console:warn","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/lawyer/criminal-system/criminalStorePersistMigrateNormalizeEvidence.ts","229","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/criminal-system/criminalStorePersistMigrateNormalizeEvidence.ts","234","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/criminal-system/criminalStorePersistMigrateNormalizeEvidence.ts","235","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/criminal-system/legalCodes/legalCodesDataCache.ts","82","console:warn","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/lawyer/criminal-system/legalCodes/legalCodesDataCache.ts","87","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/lawyer/criminal-system/legalCodes/legalCodesDataCache.ts","95","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/lawyer/dashboard/ArchivePortalHost.tsx","139","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/lawyer/dashboard/ArchivePortalHost.tsx","163","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/lawyer/dashboard/ExecutionDashboardPortal.tsx","154","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/lawyer/dashboard/ExecutionDashboardPortal.tsx","155","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
