"file","line","type","snippet_60chars","is_production_file"
"src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","2","smell-tag:ToDo","applyAppearanceThemeToDom;","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","3","smell-tag:ToDo","applyFontSizeToDom;","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","4","smell-tag:ToDo","applyGlassSurfaceAppearanceToDom;","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","5","smell-tag:ToDo","applyHighContrastToDom;","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","6","smell-tag:ToDo","applyReduceMotionToDom;","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","44","smell-tag:ToDo","applyHighContrastToDom(Boolean(partial.highContrast));","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","50","smell-tag:ToDo","applyFontSizeToDom(partial.fontSize);","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","56","smell-tag:ToDo","applyReduceMotionToDom(Boolean(partial.reduceMotion); snapshot.performance.enabl","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","61","smell-tag:ToDo","applyAppearanceThemeToDom(mergeAppearancePatch(snapshot; partial));","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","66","smell-tag:ToDo","applyGlassSurfaceAppearanceToDom(mergeAppearancePatch(snapshot; partial));","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsPatchApply.ts","2","smell-tag:ToDo","applySettingsToDom;","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsPatchApply.ts","11","smell-tag:ToDo","applySettingsToDom(next);","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsPerformanceFastPath.ts","2","smell-tag:ToDo","applyReduceMotionToDom;","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsPerformanceFastPath.ts","23","smell-tag:ToDo","applyReduceMotionToDom(snapshot.appearance.reduceMotion; enableAnimations);","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/useSettingsHomeLayoutPatches.ts","4","smell-tag:ToDo","applyHomeLayoutOverridesToDom;","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/useSettingsHomeLayoutPatches.ts","20","smell-tag:ToDo","applyHomeLayoutOverridesToDom(next);","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/useSettingsHomeLayoutPatches.ts","47","smell-tag:ToDo","applyHomeLayoutOverridesToDom(next);","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/useSettingsPatches.ts","4","smell-tag:ToDo","applyGlassSurfaceAppearanceToDom;","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/useSettingsPatches.ts","5","smell-tag:ToDo","applyHomeLayoutOverridesToDom;","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/useSettingsPatches.ts","41","smell-tag:ToDo","applyGlassSurfaceAppearanceToDom(next);","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/useSettingsPatches.ts","42","smell-tag:ToDo","applyHomeLayoutOverridesToDom(next);","TRUE"
"src/app/services/settings/applicationWipe.ts","56","throw-generic","throw new Error('cloud_wipe_incomplete');","TRUE"
"src/app/services/settings/applicationWipe.ts","244","throw-generic","throw new Error('bff_logout_failed');","TRUE"
"src/app/services/settings/apply.ts","185","smell-tag:ToDo","export function applyHighContrastToDom(highContrast: boolean): void {","TRUE"
"src/app/services/settings/apply.ts","193","smell-tag:ToDo","export function applyFontSizeToDom(fontSize: number): void {","TRUE"
"src/app/services/settings/apply.ts","210","smell-tag:ToDo","export function applyReduceMotionToDom(reduceMotion: boolean; enableAnimations: ","TRUE"
"src/app/services/settings/apply.ts","224","smell-tag:ToDo","/** يُستدعى بعد تطبيق DOM خفيف من الإعدادات — يمنع إعادة applySettingsToDom الكا","TRUE"
"src/app/services/settings/apply.ts","241","smell-tag:ToDo","export function applyAppearanceThemeToDom(settings: AppSettingsState): void {","TRUE"
"src/app/services/settings/apply.ts","278","smell-tag:ToDo","export function applyGlassSurfaceAppearanceToDom(settings: AppSettingsState): vo","TRUE"
"src/app/services/settings/apply.ts","302","smell-tag:ToDo","export function applyHomeLayoutOverridesToDom(settings: AppSettingsState): void ","TRUE"
"src/app/services/settings/apply.ts","306","smell-tag:ToDo","export function applySettingsToDom(settings: AppSettingsState) {","TRUE"
"src/app/services/settings/apply.ts","310","smell-tag:ToDo","applyGlassSurfaceAppearanceToDom(settings);","TRUE"
"src/app/services/settings/apply.ts","319","smell-tag:ToDo","applyAppearanceThemeToDom(settings);","TRUE"
"src/app/services/settings/apply.ts","344","smell-tag:ToDo","applyHighContrastToDom(appearance.highContrast);","TRUE"
"src/app/services/settings/applyLawyerSettingsFactoryReset.ts","3","smell-tag:ToDo","applyHomeLayoutOverridesToDom;","TRUE"
"src/app/services/settings/applyLawyerSettingsFactoryReset.ts","4","smell-tag:ToDo","applySettingsToDom;","TRUE"
"src/app/services/settings/applyLawyerSettingsFactoryReset.ts","35","smell-tag:ToDo","applySettingsToDom(next);","TRUE"
"src/app/services/settings/applyLawyerSettingsFactoryReset.ts","36","smell-tag:ToDo","applyHomeLayoutOverridesToDom(next);","TRUE"
"src/app/services/settings/businessBackupBuild.ts","226","throw-generic","throw new Error('عدد ملفات المخزن المحلي يتجاوز حد النسخة الآمن');","TRUE"
"src/app/services/settings/businessBackupBuild.ts","237","throw-generic","throw new Error('ملفات المخزن المحلي تتجاوز حد النسخة الآمن للهاتف');","TRUE"
"src/app/services/settings/businessBackupBuild.ts","248","throw-generic","if (!parsedPath) throw new Error('مسار ملف محلي غير صالح في المخزن الذكي');","TRUE"
"src/app/services/settings/businessBackupBuild.ts","254","throw-generic","throw new Error('ملفات المخزن المحلي تتجاوز حد النسخة الآمن للهاتف');","TRUE"
"src/app/services/settings/businessBackupBuild.ts","305","throw-generic","throw new Error('حجم النسخة يتجاوز الحد الآمن للأجهزة المحمولة');","TRUE"
"src/app/services/settings/businessBackupCrypto.ts","32","throw-generic","throw new Error('backup plaintext exceeds mobile-safe limit');","TRUE"
"src/app/services/settings/businessBackupCrypto.ts","70","throw-generic","throw new Error('invalid encrypted backup envelope');","TRUE"
"src/app/services/settings/businessBackupCrypto.ts","77","throw-generic","if (!saltB64 || !ivB64 || !cipherB64) throw new Error('invalid encrypted backup'","TRUE"
"src/app/services/settings/businessBackupCrypto.ts","83","throw-generic","throw new Error('invalid backup KDF iterations');","TRUE"
"src/app/services/settings/businessBackupCrypto.ts","90","throw-generic","throw new Error('unsupported backup KDF');","TRUE"
