"file","line","category","snippet","first_class_name_60"
"src/app/components/lawyer/HamiSettings/appearance/AppearanceBlockCustomizePanel.tsx","14","section","<div className='space-y-2.5' data-testid='appearance-block-customize-panel'>","space-y-2.5"
"src/app/components/lawyer/HamiSettings/SettingsSectionRouter.tsx","110","section","<div className='hami-settings-section-frame mx-auto w-full'>","hami-settings-section-frame mx-auto w-full"
"src/app/components/lawyer/HamiSettings/SettingsShellHeader.tsx","63","header","<div className='hami-settings-header-inner'>","hami-settings-header-inner"
"src/app/components/lawyer/RoyalLawyerProfile/components/settings/ProfileSettingsBlockCard.tsx","60","article","<div className='profile-settings-block-card'>","profile-settings-block-card"
"src/app/components/lawyer/RoyalLawyerProfile/components/settings/ProfileSettingsBlockCard.tsx","61","article","<div className='profile-settings-block-head' data-open={isOpen ? 'true' : 'false'}>","profile-settings-block-head"
"src/app/components/lawyer/RoyalLawyerProfile/components/settings/ProfileSettingsBlockCard.tsx","121","article","<div className='profile-settings-block-body' data-testid={`profile-block-body-${block.id}`}>","profile-settings-block-body"
"src/app/components/lawyer/RoyalLawyerProfile/components/settings/ProfileSettingsContainersTab.tsx","78","article","<div className='space-y-3 pb-2' data-testid='profile-settings-containers-tab'>","space-y-3 pb-2"
"src/app/components/lawyer/RoyalLawyerProfile/components/settings/ProfileSettingsContainersTab.tsx","79","article","<div className='profile-settings-luxury-card p-1 profile-settings-container-tabs'>","profile-settings-luxury-card p-1 profile-settings-container-tabs"
"src/app/components/lawyer/RoyalLawyerProfile/components/settings/ProfileSettingsSheetHeader.tsx","11","article","<div className='profile-settings-handle mx-auto mt-3 mb-3' aria-hidden />","profile-settings-handle mx-auto mt-3 mb-3"
"src/app/components/lawyer/RoyalLawyerProfile/components/settings/ProfileSettingsSheetPanels.tsx","165","section","<div className='profile-settings-scroll-panel flex-1 overflow-y-auto px-4 py-2 min-h-0 overscroll-contain'>",""
"src/app/components/lawyer/RoyalLawyerProfile/components/settings/ProfileSettingsTabSkeleton.tsx","6","article","<div className='space-y-3 py-1' aria-hidden data-testid='profile-settings-tab-skeleton'>","space-y-3 py-1"
